"","horizon","age_id","scenario_id","sample","location","target_variable","value"
"348","1 wk","child","D",18,"LI","inc infection",0
"349","1 wk","child","D",19,"LI","inc infection",0
"350","1 wk","child","D",20,"LI","inc infection",0
"351","1 wk","child","D",21,"LI","inc infection",0
"352","1 wk","child","D",22,"LI","inc infection",0
"353","1 wk","child","D",23,"LI","inc infection",0
"354","1 wk","child","D",24,"LI","inc infection",0
"355","1 wk","child","D",25,"LI","inc infection",0
"356","1 wk","child","D",26,"LI","inc infection",0
"357","1 wk","child","D",27,"LI","inc infection",0
"358","1 wk","child","D",28,"LI","inc infection",0
"359","1 wk","child","D",29,"LI","inc infection",0
"360","1 wk","child","D",30,"LI","inc infection",0
"361","1 wk","child","D",31,"LI","inc infection",0
"362","1 wk","child","D",32,"LI","inc infection",0
"363","1 wk","child","D",33,"LI","inc infection",0
"364","1 wk","child","D",34,"LI","inc infection",0
"365","1 wk","child","D",35,"LI","inc infection",0
"366","1 wk","child","D",36,"LI","inc infection",0
"367","1 wk","child","D",37,"LI","inc infection",0
"368","1 wk","child","D",38,"LI","inc infection",0
"369","1 wk","child","D",39,"LI","inc infection",0
"370","1 wk","child","D",40,"LI","inc infection",0
"371","1 wk","child","D",41,"LI","inc infection",0
"372","1 wk","child","D",42,"LI","inc infection",0
"373","1 wk","child","D",43,"LI","inc infection",0
"374","1 wk","child","D",44,"LI","inc infection",0
"375","1 wk","child","D",45,"LI","inc infection",0
"376","1 wk","child","D",46,"LI","inc infection",0
"377","1 wk","child","D",47,"LI","inc infection",0
"378","1 wk","child","D",48,"LI","inc infection",0
"379","1 wk","child","D",49,"LI","inc infection",0
"380","1 wk","child","D",50,"LI","inc infection",0
"381","1 wk","child","D",51,"LI","inc infection",0
"382","1 wk","child","D",52,"LI","inc infection",0
"383","1 wk","child","D",53,"LI","inc infection",0
"384","1 wk","child","D",54,"LI","inc infection",0
"385","1 wk","child","D",55,"LI","inc infection",0
"386","1 wk","child","D",56,"LI","inc infection",0
"387","1 wk","child","D",57,"LI","inc infection",0
"388","1 wk","child","D",58,"LI","inc infection",0
"389","1 wk","child","D",59,"LI","inc infection",0
"390","1 wk","child","D",60,"LI","inc infection",0
"391","1 wk","child","D",61,"LI","inc infection",0
"392","1 wk","child","D",62,"LI","inc infection",0
"393","1 wk","child","D",63,"LI","inc infection",0
"394","1 wk","child","D",64,"LI","inc infection",0
"395","1 wk","child","D",65,"LI","inc infection",0
"396","1 wk","child","D",66,"LI","inc infection",0
"397","1 wk","child","D",67,"LI","inc infection",0
"398","1 wk","child","D",68,"LI","inc infection",0
"399","1 wk","child","D",69,"LI","inc infection",0
"400","1 wk","child","D",70,"LI","inc infection",0
"401","1 wk","child","D",71,"LI","inc infection",0
"402","1 wk","child","D",72,"LI","inc infection",0
"403","1 wk","child","D",73,"LI","inc infection",0
"404","1 wk","child","D",74,"LI","inc infection",0
"405","1 wk","child","D",75,"LI","inc infection",0
"406","1 wk","child","D",76,"LI","inc infection",0
"407","1 wk","child","D",77,"LI","inc infection",0
"408","1 wk","child","D",78,"LI","inc infection",0
"409","1 wk","child","D",79,"LI","inc infection",0
"410","1 wk","child","D",80,"LI","inc infection",0
"411","1 wk","child","D",81,"LI","inc infection",0
"412","1 wk","child","D",82,"LI","inc infection",0
"413","1 wk","child","D",83,"LI","inc infection",0
"414","1 wk","child","D",84,"LI","inc infection",0
"415","1 wk","child","D",85,"LI","inc infection",0
"416","1 wk","child","D",86,"LI","inc infection",0
"417","1 wk","child","D",87,"LI","inc infection",0
"418","1 wk","child","D",88,"LI","inc infection",0
"419","1 wk","child","D",89,"LI","inc infection",0
"420","1 wk","child","D",90,"LI","inc infection",0
"421","1 wk","older","A",1,"LI","inc infection",0
"422","1 wk","older","A",2,"LI","inc infection",0
"423","1 wk","older","A",3,"LI","inc infection",0
"424","1 wk","older","A",4,"LI","inc infection",0
"425","1 wk","older","A",5,"LI","inc infection",0
"426","1 wk","older","A",6,"LI","inc infection",0
"427","1 wk","older","A",7,"LI","inc infection",0
"428","1 wk","older","A",8,"LI","inc infection",0
"429","1 wk","older","A",19,"LI","inc infection",0
"430","1 wk","older","A",20,"LI","inc infection",0
"431","1 wk","older","A",21,"LI","inc infection",0
"432","1 wk","older","A",22,"LI","inc infection",0
"433","1 wk","older","A",23,"LI","inc infection",0
"434","1 wk","older","A",24,"LI","inc infection",0
"435","1 wk","older","A",25,"LI","inc infection",0
"436","1 wk","older","A",26,"LI","inc infection",0
"437","1 wk","older","A",37,"LI","inc infection",0
"438","1 wk","older","A",38,"LI","inc infection",0
"439","1 wk","older","A",39,"LI","inc infection",0
"440","1 wk","older","A",40,"LI","inc infection",0
"441","1 wk","older","A",41,"LI","inc infection",0
"442","1 wk","older","A",42,"LI","inc infection",0
"443","1 wk","older","A",43,"LI","inc infection",0
"444","1 wk","older","A",44,"LI","inc infection",0
