sample,epiweek,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
12,51,71323,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,52,63557,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,1,60765,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,2,62186,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,3,67607,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,4,77153,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,5,90999,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,6,108928,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,7,129739,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,8,150740,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,9,167864,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,10,176860,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,11,175194,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,12,163335,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,13,144375,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,14,122393,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,15,100842,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,16,81818,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,17,66142,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,18,53794,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,19,44352,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,20,37274,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,21,3360,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,22,2795,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,23,2286,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,24,1859,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,25,1510,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,26,1232,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,27,1013,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,28,844,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,29,716,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,30,622,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,31,556,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,32,514,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,33,493,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,34,494,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,35,520,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,36,577,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,37,677,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,38,836,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,39,1068,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,40,1410,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,41,1919,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,42,2694,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,43,3891,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,44,5775,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,45,8777,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,46,13608,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,47,21423,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,48,34046,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,49,54161,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,50,85209,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,51,130441,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,52,190175,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,1,257328,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,2,314827,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,3,341707,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,4,327471,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,5,280384,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,6,219731,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,7,162275,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,8,116134,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,9,82433,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,10,59055,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,11,43209,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,12,32513,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,13,25234,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,14,20198,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,15,16637,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,16,14053,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,17,12124,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,18,10639,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,19,9459,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,20,8494,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,21,3172,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,22,2371,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,23,1754,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,24,1290,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,25,949,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,26,700,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,27,521,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,28,392,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,29,300,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,30,235,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,31,188,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,32,156,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,33,134,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,34,120,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,35,112,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,36,110,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
14,37,114,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
