"scenario_id","horizon","location","sample","target_variable","value"
"B","9 wk","DE",2,"inc infection",363555
"B","9 wk","DE",2,"inc dose",0
"B","10 wk","DE",2,"inc infection",596098
"B","10 wk","DE",2,"inc dose",258718
"B","11 wk","DE",2,"inc infection",845019
"B","11 wk","DE",2,"inc dose",301838
"B","12 wk","DE",2,"inc infection",1313382
"B","12 wk","DE",2,"inc dose",301838
"B","13 wk","DE",2,"inc infection",2616938
"B","13 wk","DE",2,"inc dose",301838
"B","14 wk","DE",2,"inc infection",4867410
"B","14 wk","DE",2,"inc dose",301838
"B","15 wk","DE",2,"inc infection",6743410
"B","15 wk","DE",2,"inc dose",301838
"B","16 wk","DE",2,"inc infection",7149179
"B","16 wk","DE",2,"inc dose",301838
"B","17 wk","DE",2,"inc infection",6057787
"B","17 wk","DE",2,"inc dose",301838
"B","18 wk","DE",2,"inc infection",4736399
"B","18 wk","DE",2,"inc dose",301838
"B","19 wk","DE",2,"inc infection",3522003
"B","19 wk","DE",2,"inc dose",301838
"B","20 wk","DE",2,"inc infection",2715924
"B","20 wk","DE",2,"inc dose",301838
"B","21 wk","DE",2,"inc infection",2009194
"B","21 wk","DE",2,"inc dose",301838
"B","22 wk","DE",2,"inc infection",1484424
"B","22 wk","DE",2,"inc dose",258718
"B","23 wk","DE",2,"inc infection",1094667
"B","23 wk","DE",2,"inc dose",0
"B","24 wk","DE",2,"inc infection",855208
"B","24 wk","DE",2,"inc dose",0
"B","25 wk","DE",2,"inc infection",722014
"B","25 wk","DE",2,"inc dose",0
"B","26 wk","DE",2,"inc infection",684167
"B","26 wk","DE",2,"inc dose",0
"B","27 wk","DE",2,"inc infection",692173
"B","27 wk","DE",2,"inc dose",0
"B","28 wk","DE",2,"inc infection",742758
"B","28 wk","DE",2,"inc dose",0
"B","29 wk","DE",2,"inc infection",859212
"B","29 wk","DE",2,"inc dose",0
"B","30 wk","DE",2,"inc infection",1024431
"B","30 wk","DE",2,"inc dose",0
"B","31 wk","DE",2,"inc infection",1364330
"B","31 wk","DE",2,"inc dose",0
"B","32 wk","DE",2,"inc infection",1881459
"B","32 wk","DE",2,"inc dose",0
"B","33 wk","DE",2,"inc infection",2593647
"B","33 wk","DE",2,"inc dose",0
"B","34 wk","DE",2,"inc infection",3370977
"B","34 wk","DE",2,"inc dose",0
"B","35 wk","DE",2,"inc infection",3987091
"B","35 wk","DE",2,"inc dose",0
"B","36 wk","DE",2,"inc infection",3794214
"B","36 wk","DE",2,"inc dose",0
"B","37 wk","DE",2,"inc infection",3358240
"B","37 wk","DE",2,"inc dose",0
"B","38 wk","DE",2,"inc infection",3216312
"B","38 wk","DE",2,"inc dose",0
"B","39 wk","DE",2,"inc infection",2865130
"B","39 wk","DE",2,"inc dose",0
"B","40 wk","DE",2,"inc infection",2417511
"B","40 wk","DE",2,"inc dose",0
"B","41 wk","DE",2,"inc infection",2076519
"B","41 wk","DE",2,"inc dose",0
"B","42 wk","DE",2,"inc infection",1700227
"B","42 wk","DE",2,"inc dose",0
"B","43 wk","DE",2,"inc infection",1360327
"B","43 wk","DE",2,"inc dose",0
"B","44 wk","DE",2,"inc infection",1101217
"B","44 wk","DE",2,"inc dose",0
"B","1 wk","DE",3,"inc dose",0
"B","1 wk","DE",3,"inc infection",22563
"B","2 wk","DE",3,"inc dose",0
"B","2 wk","DE",3,"inc infection",28022
"B","3 wk","DE",3,"inc dose",0
"B","3 wk","DE",3,"inc infection",31661
"B","4 wk","DE",3,"inc dose",712
"B","4 wk","DE",3,"inc infection",30933
"B","5 wk","DE",3,"inc dose",0
"B","5 wk","DE",3,"inc infection",40395
"B","6 wk","DE",3,"inc dose",0
"B","6 wk","DE",3,"inc infection",69872
"B","7 wk","DE",3,"inc dose",0
"B","7 wk","DE",3,"inc infection",90252
"B","8 wk","DE",3,"inc dose",0
"B","8 wk","DE",3,"inc infection",136833
"B","9 wk","DE",3,"inc dose",0
"B","9 wk","DE",3,"inc infection",219079
